"station","date","wd","ws","temp","rh","pm10","pm25","pm10_kal","pm25_kal","lat","lon"
"KNMI_260",2024-03-12 01:00:00,250,2,7,97,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 02:00:00,270,2,7.1,98,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 03:00:00,270,2,7.1,98,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 04:00:00,270,3,7.1,98,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 05:00:00,250,3,7,97,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 06:00:00,260,3,6.9,96,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 07:00:00,260,3,6.8,95,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 08:00:00,260,2,6.9,94,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 09:00:00,260,2,7.1,94,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 10:00:00,240,4,7.4,92,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 11:00:00,240,3,7.9,90,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 12:00:00,220,3,8.6,83,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 13:00:00,220,4,10.1,74,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 14:00:00,220,4,10.5,70,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 15:00:00,200,5,10.4,72,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 16:00:00,180,4,10.7,74,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 17:00:00,190,4,10.1,78,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 18:00:00,160,4,9.1,90,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 19:00:00,160,3,8.9,94,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 20:00:00,150,4,8.6,96,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 21:00:00,150,3,8.4,98,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 22:00:00,150,4,8.4,98,NA,NA,NA,NA,52.1,5.18
"KNMI_260",2024-03-12 23:00:00,160,3,8.4,98,NA,NA,NA,NA,52.1,5.18
"KNMI_269",2024-03-12 01:00:00,230,2,6.9,96,NA,NA,NA,NA,52.458,5.52
"KNMI_269",2024-03-12 02:00:00,240,3,7,96,NA,NA,NA,NA,52.458,5.52
