"station","date","pm10_kal","pm25_kal","rh","temp","wd","ws","pres","pm10","pm25","lat","lon"
"HLL_hl_device_067",2023-01-01 01:00:00,77.056,41.14,NA,NA,NA,NA,NA,44.81,18.72,52.451,4.585
"HLL_hl_device_067",2023-01-01 02:00:00,40.768,NA,NA,NA,NA,NA,NA,36.38,10.84,52.451,4.585
"HLL_hl_device_067",2023-01-01 04:00:00,35.208,NA,NA,NA,NA,NA,NA,32.58,8.57,52.451,4.585
"HLL_hl_device_067",2023-01-01 05:00:00,32.481,8.93,NA,NA,NA,NA,NA,40.15,9.43,52.451,4.585
"HLL_hl_device_067",2023-01-01 06:00:00,52.58,18.462,NA,NA,NA,NA,NA,47.82,10.19,52.451,4.585
"HLL_hl_device_067",2023-01-01 07:00:00,69.654,13.08,NA,NA,NA,NA,NA,61.1,10.93,52.451,4.585
"HLL_hl_device_067",2023-01-01 08:00:00,63.918,NA,NA,NA,NA,NA,NA,60.33,11.08,52.451,4.585
"HLL_hl_device_067",2023-01-01 09:00:00,51.045,NA,NA,NA,NA,NA,NA,61.51,10.3,52.451,4.585
"HLL_hl_device_067",2023-01-01 10:00:00,60.996,13.137,NA,NA,NA,NA,NA,59.81,8.74,52.451,4.585
"HLL_hl_device_067",2023-01-01 11:00:00,88.724,7.452,NA,NA,NA,NA,NA,48.21,8.16,52.451,4.585
"HLL_hl_device_067",2023-01-01 12:00:00,21.056,10.08,NA,NA,NA,NA,NA,37.6,6.99,52.451,4.585
"HLL_hl_device_067",2023-01-01 13:00:00,30.36,NA,NA,NA,NA,NA,NA,34.46,7.05,52.451,4.585
"HLL_hl_device_067",2023-01-01 14:00:00,37.73,NA,NA,NA,NA,NA,NA,34.32,6.55,52.451,4.585
"HLL_hl_device_067",2023-01-01 15:00:00,41.328,12.261,NA,NA,NA,NA,NA,36.89,6.74,52.451,4.585
"HLL_hl_device_067",2023-01-01 16:00:00,25.584,NA,NA,NA,NA,NA,NA,31.17,6.18,52.451,4.585
"HLL_hl_device_067",2023-01-01 17:00:00,27.864,8.988,NA,NA,NA,NA,NA,32.42,8.37,52.451,4.585
"HLL_hl_device_067",2023-01-01 18:00:00,26.88,8.93,NA,NA,NA,NA,NA,33.59,9.5,52.451,4.585
"HLL_hl_device_067",2023-01-01 19:00:00,27,12.51,NA,NA,NA,NA,NA,37.48,13.88,52.451,4.585
"HLL_hl_device_067",2023-01-01 20:00:00,25.944,14.448,NA,NA,NA,NA,NA,37.56,12.87,52.451,4.585
"HLL_hl_device_067",2023-01-01 21:00:00,25.116,10.434,NA,NA,NA,NA,NA,29.85,11.13,52.451,4.585
"HLL_hl_device_067",2023-01-01 22:00:00,32.384,NA,NA,NA,NA,NA,NA,36.76,15.91,52.451,4.585
"HLL_hl_device_067",2023-01-01 23:00:00,22.23,NA,NA,NA,NA,NA,NA,34.21,18.59,52.451,4.585
"HLL_hl_device_067",2023-01-02,24.975,11.96,NA,NA,NA,NA,NA,33.3,22.97,52.451,4.585
"HLL_hl_device_067",2023-01-02 01:00:00,16.764,NA,NA,NA,NA,NA,NA,25.45,15.2,52.451,4.585
"HLL_hl_device_067",2023-01-02 02:00:00,41.41,28.896,NA,NA,NA,NA,NA,50.51,30.07,52.451,4.585
"HLL_hl_device_067",2023-01-02 03:00:00,58.075,NA,NA,NA,NA,NA,NA,50.48,28.22,52.451,4.585
"HLL_hl_device_067",2023-01-02 04:00:00,48.042,NA,NA,NA,NA,NA,NA,47.06,27.74,52.451,4.585
"HLL_hl_device_067",2023-01-02 05:00:00,41.934,23.925,NA,NA,NA,NA,NA,48.18,31.95,52.451,4.585
"HLL_hl_device_067",2023-01-02 06:00:00,43.065,NA,NA,NA,NA,NA,NA,49.46,31.08,52.451,4.585
"HLL_hl_device_067",2023-01-02 07:00:00,17.69,34.73,NA,NA,NA,NA,NA,29.01,23.04,52.451,4.585
"HLL_hl_device_067",2023-01-02 08:00:00,14.868,NA,NA,NA,NA,NA,NA,25.18,11.21,52.451,4.585
"HLL_hl_device_067",2023-01-02 09:00:00,16.932,NA,NA,NA,NA,NA,NA,20.43,5.21,52.451,4.585
"HLL_hl_device_067",2023-01-02 10:00:00,17.139,7.052,NA,NA,NA,NA,NA,19.72,4.29,52.451,4.585
"HLL_hl_device_067",2023-01-02 11:00:00,20.706,3.366,NA,NA,NA,NA,NA,23.83,3.33,52.451,4.585
"HLL_hl_device_067",2023-01-02 12:00:00,26.611,7.144,NA,NA,NA,NA,NA,29.86,4.72,52.451,4.585
"HLL_hl_device_067",2023-01-02 13:00:00,23.52,7.084,NA,NA,NA,NA,NA,29.36,4.38,52.451,4.585
"HLL_hl_device_067",2023-01-02 14:00:00,38.376,5.28,NA,NA,NA,NA,NA,32.76,4.43,52.451,4.585
"HLL_hl_device_067",2023-01-02 15:00:00,29.694,7.406,NA,NA,NA,NA,NA,29.42,4.64,52.451,4.585
"HLL_hl_device_067",2023-01-02 16:00:00,16.065,5.49,NA,NA,NA,NA,NA,18.95,4.48,52.451,4.585
"HLL_hl_device_067",2023-01-02 17:00:00,16.016,4.38,NA,NA,NA,NA,NA,20.84,5.99,52.451,4.585
"HLL_hl_device_067",2023-01-02 18:00:00,13.467,9.57,NA,NA,NA,NA,NA,20.09,5.48,52.451,4.585
"HLL_hl_device_067",2023-01-02 19:00:00,14.58,7.02,NA,NA,NA,NA,NA,17.99,5.38,52.451,4.585
"HLL_hl_device_067",2023-01-02 20:00:00,16.15,NA,NA,NA,NA,NA,NA,18.96,5.91,52.451,4.585
"HLL_hl_device_067",2023-01-02 21:00:00,15.76,NA,NA,NA,NA,NA,NA,19.71,7.31,52.451,4.585
"HLL_hl_device_067",2023-01-02 22:00:00,13.439,8.507,NA,NA,NA,NA,NA,15.14,4.67,52.451,4.585
"HLL_hl_device_067",2023-01-02 23:00:00,12.2,NA,NA,NA,NA,NA,NA,12.15,2.67,52.451,4.585
"HLL_hl_device_067",2023-01-03,9.72,4.202,NA,NA,NA,NA,NA,10.76,2.17,52.451,4.585
"HLL_hl_device_067",2023-01-03 01:00:00,9.282,NA,NA,NA,NA,NA,NA,11.94,2.53,52.451,4.585
"HLL_hl_device_067",2023-01-03 02:00:00,12.036,3.956,NA,NA,NA,NA,NA,10.16,2.3,52.451,4.585
"HLL_hl_device_067",2023-01-03 03:00:00,10.918,3.8,NA,NA,NA,NA,NA,10.28,2.46,52.451,4.585
"HLL_hl_device_067",2023-01-03 04:00:00,10.976,4.836,NA,NA,NA,NA,NA,11.15,2.58,52.451,4.585
"HLL_hl_device_067",2023-01-03 05:00:00,12.998,NA,NA,NA,NA,NA,NA,13.38,4.51,52.451,4.585
"HLL_hl_device_067",2023-01-03 06:00:00,12.96,5.508,NA,NA,NA,NA,NA,16.18,6.82,52.451,4.585
"HLL_hl_device_067",2023-01-03 07:00:00,18.8,10.128,NA,NA,NA,NA,NA,40.02,21.09,52.451,4.585
"HLL_hl_device_067",2023-01-03 08:00:00,48.832,24.862,NA,NA,NA,NA,NA,87.23,40.07,52.451,4.585
"HLL_hl_device_067",2023-01-03 09:00:00,87.42,NA,NA,NA,NA,NA,NA,145.68,70.2,52.451,4.585
"HLL_hl_device_067",2023-01-03 10:00:00,35.91,44.772,NA,NA,NA,NA,NA,94.46,57.35,52.451,4.585
"HLL_hl_device_067",2023-01-03 11:00:00,31.654,24.096,NA,NA,NA,NA,NA,83.32,50.18,52.451,4.585
"HLL_hl_device_067",2023-01-03 12:00:00,42.763,33.984,NA,NA,NA,NA,NA,104.29,57.61,52.451,4.585
"HLL_hl_device_067",2023-01-03 13:00:00,32.095,38.592,NA,NA,NA,NA,NA,91.7,53.59,52.451,4.585
"HLL_hl_device_067",2023-01-03 14:00:00,30.524,NA,NA,NA,NA,NA,NA,58.66,36.32,52.451,4.585
"HLL_hl_device_067",2023-01-03 15:00:00,24.57,NA,NA,NA,NA,NA,NA,35.07,20.83,52.451,4.585
"HLL_hl_device_067",2023-01-03 16:00:00,20.72,12.337,NA,NA,NA,NA,NA,29.64,16.86,52.451,4.585
"HLL_hl_device_067",2023-01-03 17:00:00,20.995,12.556,NA,NA,NA,NA,NA,32.29,17.24,52.451,4.585
"HLL_hl_device_067",2023-01-03 18:00:00,19.971,NA,NA,NA,NA,NA,NA,31.73,15.24,52.451,4.585
"HLL_hl_device_067",2023-01-03 19:00:00,34.782,10.01,NA,NA,NA,NA,NA,34.09,14.28,52.451,4.585
"HLL_hl_device_067",2023-01-03 20:00:00,16.579,10.492,NA,NA,NA,NA,NA,28.07,12.25,52.451,4.585
"HLL_hl_device_067",2023-01-03 21:00:00,24.708,11.375,NA,NA,NA,NA,NA,28.39,12.5,52.451,4.585
